emp_no,first_name,last_name,to_date
10988,Chinya,Deyuan,"(10988,d005,1985-06-19,9999-01-01)"
10989,Sumali,Candan,"(10989,d002,1985-07-20,9999-01-01)"
10990,Shin,Foote,"(10990,d005,1990-08-06,9999-01-01)"
11009,Alper,Axelband,"(11009,d007,1986-09-09,9999-01-01)"
11012,Taegyun,Speckmann,"(11012,d009,2000-03-16,9999-01-01)"
11019,Leon,Huttel,"(11019,d005,1992-05-24,9999-01-01)"
11021,Srinidhi,Henders,"(11021,d008,1998-02-02,9999-01-01)"
11027,Remzi,Cappello,"(11027,d004,1986-05-07,9999-01-01)"
11031,Ottavia,Walstra,"(11031,d001,1985-10-24,9999-01-01)"
11037,Lansing,Maliniak,"(11037,d004,1988-01-28,9999-01-01)"
11038,Jinya,Beidas,"(11038,d008,1985-07-15,9999-01-01)"
11042,Gou,Breugel,"(11042,d005,1993-06-21,9999-01-01)"
11048,Jaques,Demke,"(11048,d007,1999-05-27,9999-01-01)"
11050,Elvis,Katiyar,"(11050,d001,1986-05-06,9999-01-01)"
11051,Przemyslawa,Erol,"(11051,d004,1991-03-27,9999-01-01)"
11070,Adib,Raney,"(11070,d006,1985-07-24,9999-01-01)"
11081,Barry,Boyle,"(11081,d002,1985-06-17,9999-01-01)"
11085,Hailing,Thummel,"(11085,d004,1996-02-10,9999-01-01)"
11100,Berna,Cochrane,"(11100,d008,1986-10-13,9999-01-01)"
11106,Aris,Iwayama,"(11106,d005,1985-08-31,9999-01-01)"
11112,Boaz,Mukaidono,"(11112,d009,1995-04-28,9999-01-01)"
11113,Shahab,Peng,"(11113,d001,1985-11-30,9999-01-01)"
11121,Vugranam,Kakkad,"(11121,d005,1992-10-31,9999-01-01)"
11133,Nalini,Azulay,"(11133,d006,1994-03-06,9999-01-01)"
11134,Sachar,Rajcani,"(11134,d006,1993-05-19,9999-01-01)"
11137,Hugh,Luca,"(11137,d005,1995-03-16,9999-01-01)"
11139,Bogdan,Homond,"(11139,d009,1990-05-11,9999-01-01)"
11146,Ishfaq,Masand,"(11146,d007,1991-08-22,9999-01-01)"
11148,Zhanqiu,Botman,"(11148,d003,1991-12-12,9999-01-01)"
11162,Kauko,Narlikar,"(11162,d005,1985-03-28,9999-01-01)"
11180,Mitsuyuki,Bojadziev,"(11180,d005,1986-06-11,9999-01-01)"
11197,Tadahiro,Fordan,"(11197,d007,1989-09-12,9999-01-01)"
11204,Diederik,Covnot,"(11204,d004,1985-09-18,9999-01-01)"
11207,Saeed,Gips,"(11207,d005,1999-01-31,9999-01-01)"
11208,Saniya,Valtorta,"(11208,d004,1994-11-17,9999-01-01)"
11211,Yurij,Rissland,"(11211,d004,1985-09-17,9999-01-01)"
11217,Kellie,Mawatari,"(11217,d004,1990-03-11,9999-01-01)"
11232,Hidefumi,Crelier,"(11232,d009,1994-08-02,9999-01-01)"
11240,Kiam,Condotta,"(11240,d005,1989-01-06,9999-01-01)"
11249,Randi,Cyre,"(11249,d005,1986-09-22,9999-01-01)"
11251,Bezalel,Chinal,"(11251,d001,1986-06-15,9999-01-01)"
11268,Aimee,Petersohn,"(11268,d004,1987-10-25,9999-01-01)"
11275,Hitomi,Eppinger,"(11275,d005,1989-04-25,9999-01-01)"
11290,Visit,Dredge,"(11290,d005,1999-05-13,9999-01-01)"
11295,Abdelkader,Lanzelotte,"(11295,d002,1985-05-15,9999-01-01)"
11319,Pranas,Marrakchi,"(11319,d005,1998-11-01,9999-01-01)"
11320,Atilio,McAlpine,"(11320,d001,1990-04-06,9999-01-01)"
11322,Nathalie,Pocchiola,"(11322,d006,1985-07-07,9999-01-01)"
11324,Kauko,Billingsley,"(11324,d004,1985-08-29,9999-01-01)"
11338,Kwangsub,Hanratty,"(11338,d007,1998-10-28,9999-01-01)"
11339,Flemming,Massonet,"(11339,d004,1989-12-19,9999-01-01)"
11347,Anneli,Jonsson,"(11347,d005,1986-04-20,9999-01-01)"
11365,Toshimi,Shinomoto,"(11365,d004,1997-12-18,9999-01-01)"
11376,Valery,Suomi,"(11376,d008,1986-03-14,9999-01-01)"
11380,Kenroku,Pelc,"(11380,d005,1991-04-19,9999-01-01)"
11385,Shiv,Ullian,"(11385,d004,1999-08-08,9999-01-01)"
11386,Alselm,Assaf,"(11386,d006,1987-11-30,9999-01-01)"
11393,Junsik,Junot,"(11393,d004,1985-04-30,9999-01-01)"
11398,Oscar,Peir,"(11398,d002,1994-09-07,9999-01-01)"
11404,Bedrich,Borovoy,"(11404,d005,1990-09-25,9999-01-01)"
11415,Sanjiv,Anido,"(11415,d004,1996-12-07,9999-01-01)"
11421,Josyula,Msuda,"(11421,d004,1986-09-02,9999-01-01)"
11441,Marlo,Aingworth,"(11441,d007,1987-03-27,9999-01-01)"
11449,Kotesh,Asser,"(11449,d004,1995-02-03,9999-01-01)"
11459,Duke,Suomi,"(11459,d003,1986-05-03,9999-01-01)"
11469,Guttorm,Giaccio,"(11469,d004,1994-09-08,9999-01-01)"
11506,Rance,Picel,"(11506,d007,1996-04-08,9999-01-01)"
11509,Aleksander,Feldhoffer,"(11509,d005,1987-11-12,9999-01-01)"
11513,Otmar,Mahnke,"(11513,d002,1992-08-25,9999-01-01)"
11515,Ulf,Basawa,"(11515,d007,1998-09-21,9999-01-01)"
11518,Jinxi,Oxman,"(11518,d003,1994-09-22,9999-01-01)"
11524,Xiadong,Standera,"(11524,d005,1996-07-05,9999-01-01)"
11527,Alagu,Boyle,"(11527,d001,1999-01-28,9999-01-01)"
11528,Zito,Dolinsky,"(11528,d004,1987-06-15,9999-01-01)"
11537,DAIDA,Pehl,"(11537,d007,1986-07-06,9999-01-01)"
11554,Subhash,Taubenfeld,"(11554,d001,1999-02-21,9999-01-01)"
11555,Kotesh,Perfilyeva,"(11555,d003,1986-10-14,9999-01-01)"
11567,Teiji,Mitzlaff,"(11567,d007,1988-02-03,9999-01-01)"
11568,Martins,Fujisaki,"(11568,d005,1992-03-13,9999-01-01)"
11603,Herb,Swen,"(11603,d002,1985-04-13,9999-01-01)"
11607,Tomokazu,Foong,"(11607,d004,1995-04-19,9999-01-01)"
11615,Shem,Isaak,"(11615,d007,1991-08-29,9999-01-01)"
11624,Adil,Gammage,"(11624,d004,1989-07-15,9999-01-01)"
11628,Fan,Malinowski,"(11628,d008,1995-04-23,9999-01-01)"
11640,Valeri,Coorg,"(11640,d005,1988-09-26,9999-01-01)"
11647,Magy,Nitsche,"(11647,d005,1988-05-11,9999-01-01)"
11660,Gill,Stenning,"(11660,d007,1986-11-22,9999-01-01)"
11673,Henk,Felder,"(11673,d004,1989-06-10,9999-01-01)"
11676,Valeri,Ferriere,"(11676,d004,1998-07-15,9999-01-01)"
11681,Fumitake,Benzmuller,"(11681,d004,1988-08-27,9999-01-01)"
11684,Oksana,Gide,"(11684,d001,1986-02-21,9999-01-01)"
11696,Dante,Rothe,"(11696,d007,1985-10-23,9999-01-01)"
11732,Sanjoy,Ranft,"(11732,d009,2002-07-12,9999-01-01)"
11735,Amalendu,Picci,"(11735,d009,1988-07-14,9999-01-01)"
11746,Koichi,Marrakchi,"(11746,d007,1988-11-17,9999-01-01)"
11751,Jiafu,Emiris,"(11751,d008,1988-11-03,9999-01-01)"
11764,Sanjay,Anick,"(11764,d004,1991-12-16,9999-01-01)"
11769,Chandrasekaran,Lampe,"(11769,d005,1999-04-18,9999-01-01)"
11772,Gaurav,Penz,"(11772,d005,1999-11-07,9999-01-01)"
11797,Chenxi,Thambidurai,"(11797,d001,1996-09-28,9999-01-01)"
11810,Amabile,Bhattacharjee,"(11810,d005,1992-01-05,9999-01-01)"
11817,Niranjan,Markovitch,"(11817,d007,1986-04-12,9999-01-01)"
11832,Arto,Zlotek,"(11832,d005,1996-02-04,9999-01-01)"
11844,Shawna,Demeyer,"(11844,d005,1988-01-27,9999-01-01)"
11853,Zeljko,Kusakabe,"(11853,d001,1988-11-17,9999-01-01)"
11857,Divier,Farrag,"(11857,d007,1986-08-27,9999-01-01)"
11864,Pradeep,Kriebel,"(11864,d009,1995-11-02,9999-01-01)"
11871,Nalini,Sommen,"(11871,d005,1993-10-13,9999-01-01)"
11872,Cheong,Riexinger,"(11872,d001,1994-02-12,9999-01-01)"
11894,Mitchel,Validov,"(11894,d005,1988-06-22,9999-01-01)"
11897,Cordelia,Setlzner,"(11897,d007,1988-06-16,9999-01-01)"
11906,Hideo,Boguraev,"(11906,d005,1999-02-07,9999-01-01)"
11915,Miomir,Mawatari,"(11915,d004,1992-06-28,9999-01-01)"
11931,Gunilla,Chiodo,"(11931,d008,1991-01-13,9999-01-01)"
11933,Basil,Erman,"(11933,d005,1987-06-13,9999-01-01)"
11949,Martijn,Harbusch,"(11949,d004,1985-03-11,9999-01-01)"
11983,Jaana,Hedayat,"(11983,d005,1986-10-11,9999-01-01)"
11993,Marit,Dalphin,"(11993,d003,1996-10-22,9999-01-01)"
12011,Zhilian,Coorg,"(12011,d007,1988-07-22,9999-01-01)"
12036,Mads,Ratzlaff,"(12036,d007,1995-07-01,9999-01-01)"
12037,Arunas,Katzenelson,"(12037,d009,1986-10-01,9999-01-01)"
12050,Yuchang,Tchuente,"(12050,d004,1989-04-01,9999-01-01)"
12062,Margareta,Worfolk,"(12062,d003,1996-01-04,9999-01-01)"
12069,Ayonca,Burnard,"(12069,d005,1985-05-13,9999-01-01)"
12070,Ger,Shokrollahi,"(12070,d005,1988-11-14,9999-01-01)"
12076,Karlis,Siprelle,"(12076,d007,1985-03-25,9999-01-01)"
12082,Xinan,Yamaashi,"(12082,d007,1986-01-29,9999-01-01)"
12089,Bilhanan,Socorro,"(12089,d003,1986-10-22,9999-01-01)"
12099,Nobuyoshi,Kuzuoka,"(12099,d007,1994-02-15,9999-01-01)"
12112,Satyanarayana,Avouris,"(12112,d002,1989-09-26,9999-01-01)"
12122,Satoru,Krone,"(12122,d004,1987-07-24,9999-01-01)"
12123,Xiahua,Syrzycki,"(12123,d008,1987-07-18,9999-01-01)"
12125,Shounak,Erman,"(12125,d004,1999-09-01,9999-01-01)"
12149,Suebskul,Grandbois,"(12149,d007,1988-10-01,9999-01-01)"
12159,Shem,Perly,"(12159,d005,1985-07-17,9999-01-01)"
12165,Xiaobin,Maquelin,"(12165,d005,1994-08-29,9999-01-01)"
12183,Harngdar,Iisaku,"(12183,d006,1998-04-04,9999-01-01)"
12192,Feiyu,Klyachko,"(12192,d006,1986-09-02,9999-01-01)"
12205,Sushant,Rossi,"(12205,d005,1987-11-11,9999-01-01)"
12206,Barton,Janetzko,"(12206,d005,1985-03-27,9999-01-01)"
12218,Yaghout,Strooper,"(12218,d006,1991-03-12,9999-01-01)"
12221,Vincent,Melter,"(12221,d005,1985-09-16,9999-01-01)"
12222,Abdelwaheb,Holburn,"(12222,d002,1987-08-15,9999-01-01)"
12223,Niteen,Koyama,"(12223,d004,1986-08-13,9999-01-01)"
12247,Subbu,Penttonen,"(12247,d005,1985-04-09,9999-01-01)"
12249,Eldridge,Sadowski,"(12249,d005,1987-06-21,9999-01-01)"
12256,Guadalupe,Reghbati,"(12256,d003,1985-08-26,9999-01-01)"
12264,Mart,Pagter,"(12264,d005,1998-01-09,9999-01-01)"
12270,Shakhar,Kornyak,"(12270,d008,1989-08-19,9999-01-01)"
12272,Behnaam,Grandbois,"(12272,d003,1987-12-08,9999-01-01)"
12308,Mototsugu,Cronau,"(12308,d003,1996-09-20,9999-01-01)"
12311,Susanne,Lubachevsky,"(12311,d005,1985-10-22,9999-01-01)"
12327,DAIDA,Bruckman,"(12327,d005,1986-10-16,9999-01-01)"
12341,Rasiah,Luga,"(12341,d005,1985-05-25,9999-01-01)"
12343,Sorina,Slaats,"(12343,d004,2000-09-03,9999-01-01)"
12365,Kamakshi,Bisiani,"(12365,d004,1988-09-12,9999-01-01)"
12373,Mooi,Driscoll,"(12373,d007,1993-11-11,9999-01-01)"
12395,Sanjit,Felder,"(12395,d002,1995-06-05,9999-01-01)"
12399,Mihalis,Luga,"(12399,d007,1987-12-07,9999-01-01)"
12411,Shao,Ibel,"(12411,d007,1986-08-17,9999-01-01)"
12413,Hugh,Gadepally,"(12413,d004,1994-03-04,9999-01-01)"
12417,Dannz,Spelt,"(12417,d004,1998-02-02,9999-01-01)"
12422,Berhard,Demos,"(12422,d003,1993-06-07,9999-01-01)"
12454,Kerryn,Farris,"(12454,d007,1998-12-18,9999-01-01)"
12464,Shai,Milicic,"(12464,d007,1998-06-01,9999-01-01)"
12475,Filipe,Roison,"(12475,d005,1987-04-26,9999-01-01)"
12487,Mona,Reghbati,"(12487,d002,1998-12-11,9999-01-01)"
12489,Arnould,Munck,"(12489,d005,1986-04-11,9999-01-01)"
12490,Jackson,Muchinsky,"(12490,d005,1994-05-09,9999-01-01)"
12497,Stein,Penz,"(12497,d007,1989-09-25,9999-01-01)"
12501,Morrie,Matheson,"(12501,d002,1986-06-05,9999-01-01)"
12504,Adly,Rosaz,"(12504,d004,1997-08-14,9999-01-01)"
12514,Tomofumi,Melter,"(12514,d005,1999-11-13,9999-01-01)"
12528,Conor,Cincotta,"(12528,d009,1988-09-24,9999-01-01)"
12534,Yongmao,Gerlach,"(12534,d004,1985-08-14,9999-01-01)"
12541,Shih,Nanard,"(12541,d007,1988-08-31,9999-01-01)"
12542,Kazuhide,Bouloucos,"(12542,d003,1987-09-12,9999-01-01)"
12551,Jeane,Tzvieli,"(12551,d004,1987-12-04,9999-01-01)"
12553,Aral,Vesna,"(12553,d003,1987-02-28,9999-01-01)"
12557,Stafford,Kopetz,"(12557,d004,1994-09-23,9999-01-01)"
12589,Anoosh,Chleq,"(12589,d005,1988-09-08,9999-01-01)"
12596,Breannda,Roisin,"(12596,d003,1996-09-29,9999-01-01)"
12601,Ghassan,Simkin,"(12601,d005,1992-07-09,9999-01-01)"
12608,Nectarios,Mondadori,"(12608,d003,1991-02-22,9999-01-01)"
12635,Xinyu,Restivo,"(12635,d009,1995-04-07,9999-01-01)"
12638,Yuqun,Seiwald,"(12638,d005,1999-04-29,9999-01-01)"
12642,Suebskul,Gips,"(12642,d001,1996-10-28,9999-01-01)"
12651,Pragnesh,Bael,"(12651,d007,1988-01-27,9999-01-01)"
12662,Leucio,Alvarado,"(12662,d005,1985-08-27,9999-01-01)"
12663,Nobuyoshi,Stellhorn,"(12663,d005,1986-09-29,9999-01-01)"
12664,Zhonghua,Parveen,"(12664,d009,2001-03-12,9999-01-01)"
12689,Luerbio,Boudaillier,"(12689,d005,1992-11-23,9999-01-01)"
12691,Oddvar,Gils,"(12691,d004,1992-08-25,9999-01-01)"
12697,Uri,Brizzi,"(12697,d003,1986-07-11,9999-01-01)"
12709,Ronghao,Botman,"(12709,d005,1995-02-26,9999-01-01)"
12717,Tzu,Jiafu,"(12717,d008,1999-10-20,9999-01-01)"
12722,Elliott,Cheshire,"(12722,d002,1985-03-29,9999-01-01)"
12726,Fumitake,Panwar,"(12726,d005,1994-05-19,9999-01-01)"
12729,Nahla,Rahier,"(12729,d009,2000-09-10,9999-01-01)"
12731,Yongmao,Waymire,"(12731,d003,1988-04-05,9999-01-01)"
12732,Mara,Takanami,"(12732,d007,1988-04-06,9999-01-01)"
12734,Gil,Frijda,"(12734,d005,1986-03-03,9999-01-01)"
12755,Rildo,Rodite,"(12755,d003,1987-03-18,9999-01-01)"
12773,Jenwei,Lovengreen,"(12773,d005,1985-03-05,9999-01-01)"
12790,Gunilla,Perl,"(12790,d007,1995-08-08,9999-01-01)"
12795,Masoud,Fordan,"(12795,d002,1988-06-23,9999-01-01)"
12798,Lillian,Beeson,"(12798,d007,1987-12-27,9999-01-01)"
12803,Gad,Boissier,"(12803,d001,1999-08-30,9999-01-01)"
12815,Sushant,Junot,"(12815,d008,1985-02-27,9999-01-01)"
12819,Mountaz,Gubsky,"(12819,d004,1989-09-09,9999-01-01)"
12848,Kazuhide,Smeets,"(12848,d005,1997-05-11,9999-01-01)"
12863,Leif,Matheson,"(12863,d004,1985-09-06,9999-01-01)"
12872,Marl,Schmittgen,"(12872,d007,1986-09-09,9999-01-01)"
12879,Baruch,Eugenio,"(12879,d005,1990-06-11,9999-01-01)"
12890,Neven,Casley,"(12890,d007,1985-10-31,9999-01-01)"
12893,Licheng,Crouzet,"(12893,d007,1987-03-18,9999-01-01)"
12895,Roddy,Serot,"(12895,d004,1993-08-15,9999-01-01)"
12905,Munehiro,Gecsei,"(12905,d005,1987-07-19,9999-01-01)"
12926,Heekeun,Luby,"(12926,d008,1985-12-24,9999-01-01)"
12940,Odinaldo,Farrar,"(12940,d005,1987-12-12,9999-01-01)"
12941,Tommaso,Perelgut,"(12941,d005,1986-11-06,9999-01-01)"
12949,Geoff,Asrin,"(12949,d005,1987-02-12,9999-01-01)"
12977,Byong,Markovitch,"(12977,d005,1987-08-24,9999-01-01)"
12983,Elliott,Hambrick,"(12983,d002,1999-06-28,9999-01-01)"
13030,Yahiko,Kroll,"(13030,d001,1993-11-25,9999-01-01)"
13046,Vivian,Stafford,"(13046,d002,1987-04-19,9999-01-01)"
13047,Atilio,Chelton,"(13047,d005,1992-02-26,9999-01-01)"
13075,Rosella,Morrin,"(13075,d001,1990-09-02,9999-01-01)"
13076,Deniz,Skafidas,"(13076,d005,1995-01-28,9999-01-01)"
13096,Ibibia,Armand,"(13096,d006,1994-04-22,9999-01-01)"
13103,Srinidhi,Ellozy,"(13103,d005,1988-06-19,9999-01-01)"
13124,Quingbo,Garnick,"(13124,d007,1985-03-17,9999-01-01)"
13133,Guther,Senzako,"(13133,d009,1991-06-13,9999-01-01)"
13134,Lorien,Chepyzhov,"(13134,d004,1987-10-23,9999-01-01)"
13144,Persi,Nollmann,"(13144,d002,1989-06-19,9999-01-01)"
13146,Haldon,Erie,"(13146,d007,1985-05-25,9999-01-01)"
13147,Shichao,Ginesta,"(13147,d007,1993-06-29,9999-01-01)"
13156,Akeel,Millington,"(13156,d005,1992-08-18,9999-01-01)"
13165,Lucian,Benner,"(13165,d006,1988-03-16,9999-01-01)"
13168,Munir,Stentiford,"(13168,d004,1987-09-11,9999-01-01)"
13170,Cheong,Bernardeschi,"(13170,d003,1998-09-21,9999-01-01)"
13171,Anoosh,Birnbaum,"(13171,d006,1987-08-31,9999-01-01)"
13173,Arve,Horswill,"(13173,d007,1987-09-24,9999-01-01)"
13179,Moty,Janocha,"(13179,d007,1999-02-19,9999-01-01)"
13182,Kokou,Rodite,"(13182,d004,1999-03-03,9999-01-01)"
13186,Kyoichi,Barbanera,"(13186,d007,1986-04-29,9999-01-01)"
13192,Rosita,Flowers,"(13192,d004,2001-01-19,9999-01-01)"
13202,Aram,Scharstein,"(13202,d008,1986-03-29,9999-01-01)"
13210,Jianhua,Klassen,"(13210,d001,1997-08-10,9999-01-01)"
13213,Hein,Billawala,"(13213,d007,1988-08-30,9999-01-01)"
13232,Mitchel,Fujisaki,"(13232,d005,1986-06-02,9999-01-01)"
13233,Alselm,Chvatal,"(13233,d005,1987-03-31,9999-01-01)"
13238,Ebru,Foote,"(13238,d007,1993-10-10,9999-01-01)"
13240,King,Pileggi,"(13240,d005,1994-03-10,9999-01-01)"
13250,Zeydy,Schusler,"(13250,d004,1988-10-28,9999-01-01)"
13272,Arun,Jiang,"(13272,d009,1985-03-10,9999-01-01)"
13276,Yechiam,Seuren,"(13276,d002,1986-03-09,9999-01-01)"
13288,Muneo,Broomell,"(13288,d003,1987-04-14,9999-01-01)"
13291,Georg,Stamatiou,"(13291,d005,1986-10-30,9999-01-01)"
13302,Mack,Alencar,"(13302,d005,1990-09-26,9999-01-01)"
13315,Sakthirel,Stroustrup,"(13315,d005,1991-06-02,9999-01-01)"
13332,Nidapan,Pearson,"(13332,d004,1987-09-24,9999-01-01)"
13333,Yoshinari,Hennebert,"(13333,d004,1998-08-30,9999-01-01)"
13341,Bodh,Doering,"(13341,d001,1986-03-11,9999-01-01)"
13343,Heon,Usery,"(13343,d002,1995-05-06,9999-01-01)"
13368,Kiyokazu,Klassen,"(13368,d003,1997-09-30,9999-01-01)"
13371,Nakhoon,Riexinger,"(13371,d004,1991-12-13,9999-01-01)"
13373,Juichirou,Naumovich,"(13373,d003,1993-04-05,9999-01-01)"
13385,Claudi,Buchter,"(13385,d003,1986-06-10,9999-01-01)"
13386,Khosrow,Sgarro,"(13386,d005,1986-02-23,9999-01-01)"
13389,Divine,Cmelik,"(13389,d008,1988-03-23,9999-01-01)"
13392,Fumitake,Beidas,"(13392,d007,1988-08-26,9999-01-01)"
13396,Chuanyi,Aumann,"(13396,d009,1994-03-29,9999-01-01)"
13402,Augustine,Dulli,"(13402,d008,2002-02-26,9999-01-01)"
13405,Randy,Baba,"(13405,d007,1990-05-10,9999-01-01)"
13407,Gio,Chenoweth,"(13407,d004,1992-10-03,9999-01-01)"
